x,y,T
0.387755,0.326531,0.669717
0.408163,0.326531,0.640204
0.428571,0.326531,0.609897
0.448980,0.326531,0.578958
0.469388,0.326531,0.547560
0.489796,0.326531,0.515885
0.510204,0.326531,0.484115
0.530612,0.326531,0.452440
0.551020,0.326531,0.421042
0.571429,0.326531,0.390103
0.591837,0.326531,0.359796
0.612245,0.326531,0.330283
0.632653,0.326531,0.301714
0.653061,0.326531,0.274222
0.673469,0.326531,0.247925
0.693878,0.326531,0.222918
0.714286,0.326531,0.199277
0.734694,0.326531,0.177056
0.755102,0.326531,0.156284
0.775510,0.326531,0.136966
0.795918,0.326531,0.119086
0.816327,0.326531,0.102602
0.836735,0.326531,0.087448
0.857143,0.326531,0.073540
0.877551,0.326531,0.060770
0.897959,0.326531,0.049012
0.918367,0.326531,0.038126
0.938776,0.326531,0.027953
0.959184,0.326531,0.018327
0.979592,0.326531,0.009071
1.000000,0.326531,0.000000
0.000000,0.346939,1.000000
0.020408,0.346939,0.990080
0.040816,0.346939,0.979988
0.061224,0.346939,0.969554
0.081633,0.346939,0.958615
0.102041,0.346939,0.947015
0.122449,0.346939,0.934609
0.142857,0.346939,0.921267
0.163265,0.346939,0.906871
0.183673,0.346939,0.891324
0.204082,0.346939,0.874546
0.224490,0.346939,0.856476
0.244898,0.346939,0.837077
0.265306,0.346939,0.816332
0.285714,0.346939,0.794247
0.306122,0.346939,0.770848
0.326531,0.346939,0.746186
0.346939,0.346939,0.720329
0.367347,0.346939,0.693369
0.387755,0.346939,0.665411
0.408163,0.346939,0.636580
0.428571,0.346939,0.607015
0.448980,0.346939,0.576865
0.469388,0.346939,0.546291
0.489796,0.346939,0.515459
0.510204,0.346939,0.484541
0.530612,0.346939,0.453709
0.551020,0.346939,0.423135
0.571429,0.346939,0.392985
0.591837,0.346939,0.363420
0.612245,0.346939,0.334589
0.632653,0.346939,0.306631
0.653061,0.346939,0.279671
0.673469,0.346939,0.253814
0.693878,0.346939,0.229152
0.714286,0.346939,0.205753
0.734694,0.346939,0.183668
0.755102,0.346939,0.162923
0.775510,0.346939,0.143524
0.795918,0.346939,0.125454
0.816327,0.346939,0.108676
0.836735,0.346939,0.093129
0.857143,0.346939,0.078733
0.877551,0.346939,0.065391
0.897959,0.346939,0.052985
0.918367,0.346939,0.041385
0.938776,0.346939,0.030446
0.959184,0.346939,0.020012
0.979592,0.346939,0.009920
1.000000,0.346939,0.000000
0.000000,0.367347,1.000000
0.020408,0.367347,0.989058
0.040816,0.367347,0.977961
0.061224,0.367347,0.966556
0.081633,0.367347,0.954694
0.102041,0.367347,0.942236
0.122449,0.367347,0.929051
0.142857,0.367347,0.915020
0.163265,0.367347,0.900039
0.183673,0.367347,0.884018
0.204082,0.367347,0.866886
0.224490,0.367347,0.848589
0.244898,0.367347,0.829092
0.265306,0.367347,0.808380
0.285714,0.367347,0.786457
0.306122,0.367347,0.763350
0.326531,0.367347,0.739102
0.346939,0.367347,0.713777
0.367347,0.367347,0.687454
0.387755,0.367347,0.660232
0.408163,0.367347,0.632221
0.428571,0.367347,0.603548
0.448980,0.367347,0.574347
0.469388,0.367347,0.544763
0.489796,0.367347,0.514947
0.510204,0.367347,0.485053
0.530612,0.367347,0.455237
0.551020,0.367347,0.425653
0.571429,0.367347,0.396452
0.591837,0.367347,0.367779
